fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,deceased,hospitalizated,UCI,cases_accumulated,cases_accumulated_PCR,cases_accumulated_AC,cases_accumulated_AG,cases_accumulated_elisa,cases_accumulated_desconocida,cases_accumulated_PCR_percentage,cases_accumulated_AC_percentage,cases_accumulated_ag_percentage,cases_accumulated_elisa_percentage,cases_accumulated_desconocida_percentage,cases_inc,deceased_accumulated,deceased_per_100000,deceased_inc,hospitalizated_accumulated,UCI_accumulated,cases_7_days,cases_14_days,deaths_7_days,deaths_14_days,deaths_7_days_1M,avg_cases_7_days,avg_cases_14_days,avg_deaths_3_days,avg_deaths_7_days,avg_hospitalizated_7_days,avg_UCI_7_days,ia_100000_week,ia_100000_2week,ia_accumulated
2020-01-01,1,1,0,0,0,0,0,9,0,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0,,0,0.0,,9,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
2020-01-02,0,0,0,0,0,0,0,67,1,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0,-100.0,0,0.0,,76,1,1,1,0,0,0.0,0.5,0.5,0.0,0.0,38.0,0.5,0.0,0.0,0.0
2020-01-03,2,2,0,0,0,0,0,10,1,3,3,0,0,0,0,100.0,0.0,0.0,0.0,0.0,inf,0,0.0,,86,2,3,3,0,0,0.0,1.0,1.0,0.0,0.0,28.67,0.67,0.01,0.01,0.01
2020-01-04,0,0,0,0,0,0,0,11,0,3,3,0,0,0,0,100.0,0.0,0.0,0.0,0.0,-100.0,0,0.0,,97,2,3,3,0,0,0.0,0.75,0.75,0.0,0.0,24.25,0.5,0.01,0.01,0.01
2020-01-05,1,1,0,0,0,0,0,12,0,4,4,0,0,0,0,100.0,0.0,0.0,0.0,0.0,inf,0,0.0,,109,2,4,4,0,0,0.0,0.8,0.8,0.0,0.0,21.8,0.4,0.01,0.01,0.01
2020-01-06,1,0,0,0,0,1,0,6,0,5,4,0,0,0,1,80.0,0.0,0.0,0.0,20.0,0.0,0,0.0,,115,2,5,5,0,0,0.0,0.83,0.83,0.0,0.0,19.17,0.33,0.01,0.01,0.01
2020-01-07,1,1,0,0,0,0,0,6,0,6,5,0,0,0,1,83.33333333333333,0.0,0.0,0.0,16.666666666666668,0.0,0,0.0,,121,2,6,6,0,0,0.0,0.86,0.86,0.0,0.0,17.29,0.29,0.01,0.01,0.01
2020-01-08,1,1,0,0,0,0,0,6,0,7,6,0,0,0,1,85.71428571428571,0.0,0.0,0.0,14.285714285714286,0.0,0,0.0,,127,2,6,7,0,0,0.0,0.86,0.88,0.0,0.0,16.86,0.29,0.01,0.01,0.01
2020-01-09,0,0,0,0,0,0,0,8,0,7,6,0,0,0,1,85.71428571428571,0.0,0.0,0.0,14.285714285714286,-100.0,0,0.0,,135,2,6,7,0,0,0.0,0.86,0.78,0.0,0.0,8.43,0.14,0.01,0.01,0.01
2020-01-10,1,1,0,0,0,0,0,8,0,8,7,0,0,0,1,87.5,0.0,0.0,0.0,12.5,inf,0,0.0,,143,2,5,8,0,0,0.0,0.71,0.8,0.0,0.0,8.14,0.0,0.01,0.02,0.02
2020-01-11,1,1,0,0,0,0,0,2,1,9,8,0,0,0,1,88.88888888888889,0.0,0.0,0.0,11.11111111111111,0.0,0,0.0,,145,3,6,9,0,0,0.0,0.86,0.82,0.0,0.0,6.86,0.14,0.01,0.02,0.02
2020-01-12,1,1,0,0,0,0,0,4,0,10,9,0,0,0,1,90.0,0.0,0.0,0.0,10.0,0.0,0,0.0,,149,3,6,10,0,0,0.0,0.86,0.83,0.0,0.0,5.71,0.14,0.01,0.02,0.02
2020-01-13,3,3,0,0,0,0,0,6,0,13,12,0,0,0,1,92.3076923076923,0.0,0.0,0.0,7.6923076923076925,200.0,0,0.0,,155,3,8,13,0,0,0.0,1.14,1.0,0.0,0.0,5.71,0.14,0.02,0.03,0.03
2020-01-14,0,0,0,0,0,0,0,9,1,13,12,0,0,0,1,92.3076923076923,0.0,0.0,0.0,7.6923076923076925,-100.0,0,0.0,,164,4,7,13,0,0,0.0,1.0,0.93,0.0,0.0,6.14,0.29,0.01,0.03,0.03
2020-01-15,1,1,0,0,0,0,0,11,1,14,13,0,0,0,1,92.85714285714286,0.0,0.0,0.0,7.142857142857143,inf,0,0.0,,175,5,7,13,0,0,0.0,1.0,0.93,0.0,0.0,6.86,0.43,0.01,0.03,0.03
2020-01-16,1,1,0,0,0,0,0,5,0,15,14,0,0,0,1,93.33333333333333,0.0,0.0,0.0,6.666666666666667,0.0,0,0.0,,180,5,8,14,0,0,0.0,1.14,1.0,0.0,0.0,6.43,0.43,0.02,0.03,0.03
2020-01-17,1,1,0,0,0,0,0,4,0,16,15,0,0,0,1,93.75,0.0,0.0,0.0,6.25,0.0,0,0.0,,184,5,8,13,0,0,0.0,1.14,0.93,0.0,0.0,5.86,0.43,0.02,0.03,0.03
2020-01-18,2,2,0,0,0,0,0,6,0,18,17,0,0,0,1,94.44444444444444,0.0,0.0,0.0,5.555555555555555,100.0,0,0.0,,190,5,9,15,0,0,0.0,1.29,1.07,0.0,0.0,6.43,0.29,0.02,0.03,0.04
2020-01-19,0,0,0,0,0,0,0,5,1,18,17,0,0,0,1,94.44444444444444,0.0,0.0,0.0,5.555555555555555,-100.0,0,0.0,,195,6,8,14,0,0,0.0,1.14,1.0,0.0,0.0,6.57,0.43,0.02,0.03,0.04
2020-01-20,5,5,0,0,0,0,0,8,0,23,22,0,0,0,1,95.65217391304348,0.0,0.0,0.0,4.3478260869565215,inf,0,0.0,,203,6,10,18,0,0,0.0,1.43,1.29,0.0,0.0,6.86,0.43,0.02,0.04,0.05
2020-01-21,1,0,0,0,0,1,0,10,1,24,22,0,0,0,2,91.66666666666667,0.0,0.0,0.0,8.333333333333334,-80.0,0,0.0,,213,7,11,18,0,0,0.0,1.57,1.29,0.0,0.0,7.0,0.43,0.02,0.04,0.05
2020-01-22,0,0,0,0,0,0,0,5,0,24,22,0,0,0,2,91.66666666666667,0.0,0.0,0.0,8.333333333333334,-100.0,0,0.0,,218,7,10,17,0,0,0.0,1.43,1.21,0.0,0.0,6.14,0.29,0.02,0.04,0.05
2020-01-23,2,2,0,0,0,0,0,9,0,26,24,0,0,0,2,92.3076923076923,0.0,0.0,0.0,7.6923076923076925,inf,0,0.0,,227,7,11,19,0,0,0.0,1.57,1.36,0.0,0.0,6.71,0.29,0.02,0.04,0.05
2020-01-24,3,3,0,0,0,0,0,13,1,29,27,0,0,0,2,93.10344827586206,0.0,0.0,0.0,6.896551724137931,50.0,0,0.0,,240,8,13,21,0,0,0.0,1.86,1.5,0.0,0.0,8.0,0.43,0.03,0.04,0.06
2020-01-25,1,1,0,0,0,0,0,4,0,30,28,0,0,0,2,93.33333333333333,0.0,0.0,0.0,6.666666666666667,-66.67,0,0.0,,244,8,12,21,0,0,0.0,1.71,1.5,0.0,0.0,7.71,0.43,0.03,0.04,0.06
2020-01-26,1,1,0,0,0,0,0,2,0,31,29,0,0,0,2,93.54838709677419,0.0,0.0,0.0,6.451612903225806,0.0,0,0.0,,246,8,13,21,0,0,0.0,1.86,1.5,0.0,0.0,7.29,0.29,0.03,0.04,0.07
2020-01-27,4,3,0,0,1,0,0,6,0,35,32,0,0,1,2,91.42857142857143,0.0,0.0,2.857142857142857,5.714285714285714,300.0,0,0.0,,252,8,12,22,0,0,0.0,1.71,1.57,0.0,0.0,7.0,0.29,0.03,0.05,0.07
2020-01-28,1,1,0,0,0,0,0,7,0,36,33,0,0,1,2,91.66666666666667,0.0,0.0,2.7777777777777777,5.555555555555555,-75.0,0,0.0,,259,8,12,23,0,0,0.0,1.71,1.64,0.0,0.0,6.57,0.14,0.03,0.05,0.08
2020-01-29,4,4,0,0,0,0,0,16,0,40,37,0,0,1,2,92.5,0.0,0.0,2.5,5.0,300.0,0,0.0,,275,8,16,26,0,0,0.0,2.29,1.86,0.0,0.0,8.14,0.14,0.03,0.05,0.08
2020-01-30,1,1,0,0,0,0,0,13,0,41,38,0,0,1,2,92.6829268292683,0.0,0.0,2.4390243902439024,4.878048780487805,-75.0,0,0.0,,288,8,15,26,0,0,0.0,2.14,1.86,0.0,0.0,8.71,0.14,0.03,0.05,0.09
2020-01-31,4,4,0,0,0,0,0,14,0,45,42,0,0,1,2,93.33333333333333,0.0,0.0,2.2222222222222223,4.444444444444445,300.0,0,0.0,,302,8,16,29,0,0,0.0,2.29,2.07,0.0,0.0,8.86,0.0,0.03,0.06,0.09
2020-02-01,17,16,0,0,0,1,0,7,1,62,58,0,0,1,3,93.54838709677419,0.0,0.0,1.6129032258064515,4.838709677419355,325.0,0,0.0,,309,9,32,44,0,0,0.0,4.57,3.14,0.0,0.0,9.29,0.14,0.07,0.09,0.13
2020-02-02,12,12,0,0,0,0,0,15,0,74,70,0,0,1,3,94.5945945945946,0.0,0.0,1.3513513513513513,4.054054054054054,-29.41,0,0.0,,324,9,43,56,0,0,0.0,6.14,4.0,0.0,0.0,11.14,0.14,0.09,0.12,0.16
2020-02-03,12,12,0,0,0,0,0,18,0,86,82,0,0,1,3,95.34883720930233,0.0,0.0,1.1627906976744187,3.488372093023256,0.0,0,0.0,,342,9,51,63,0,0,0.0,7.29,4.5,0.0,0.0,12.86,0.14,0.11,0.13,0.18
2020-02-04,9,9,0,0,0,0,0,14,0,95,91,0,0,1,3,95.78947368421052,0.0,0.0,1.0526315789473684,3.1578947368421053,-25.0,0,0.0,,356,9,59,71,0,0,0.0,8.43,5.07,0.0,0.0,13.86,0.14,0.12,0.15,0.2
2020-02-05,7,7,0,0,0,0,0,9,1,102,98,0,0,1,3,96.07843137254902,0.0,0.0,0.9803921568627451,2.9411764705882355,-22.22,0,0.0,,365,10,62,78,0,0,0.0,8.86,5.57,0.0,0.0,12.86,0.29,0.13,0.16,0.22
2020-02-06,9,8,1,0,0,0,0,16,1,111,106,1,0,1,3,95.49549549549549,0.9009009009009009,0.0,0.9009009009009009,2.7027027027027026,28.57,0,0.0,,381,11,70,85,0,0,0.0,10.0,6.07,0.0,0.0,13.29,0.43,0.15,0.18,0.23
2020-02-07,15,14,0,0,0,1,0,19,3,126,120,1,0,1,4,95.23809523809524,0.7936507936507936,0.0,0.7936507936507936,3.1746031746031744,66.67,0,0.0,,400,14,81,97,0,0,0.0,11.57,6.93,0.0,0.0,14.0,0.86,0.17,0.2,0.27
2020-02-08,9,9,0,0,0,0,0,6,0,135,129,1,0,1,4,95.55555555555556,0.7407407407407407,0.0,0.7407407407407407,2.962962962962963,-40.0,0,0.0,,406,14,73,105,0,0,0.0,10.43,7.5,0.0,0.0,13.86,0.71,0.15,0.22,0.28
2020-02-09,3,3,0,0,0,0,0,6,0,138,132,1,0,1,4,95.65217391304348,0.7246376811594203,0.0,0.7246376811594203,2.898550724637681,-66.67,0,0.0,,412,14,64,107,0,0,0.0,9.14,7.64,0.0,0.0,12.57,0.71,0.13,0.23,0.29
2020-02-10,22,21,1,0,0,0,0,14,1,160,153,2,0,1,4,95.625,1.25,0.0,0.625,2.5,633.33,0,0.0,,426,15,74,125,0,0,0.0,10.57,8.93,0.0,0.0,12.0,0.86,0.16,0.26,0.34
2020-02-11,14,13,0,0,1,0,0,20,2,174,166,2,0,2,4,95.40229885057471,1.1494252873563218,0.0,1.1494252873563218,2.2988505747126435,-36.36,0,0.0,,446,17,79,138,0,0,0.0,11.29,9.86,0.0,0.0,12.86,1.14,0.17,0.29,0.37
2020-02-12,28,27,0,0,0,1,0,17,0,202,193,2,0,2,5,95.54455445544555,0.9900990099009901,0.0,0.9900990099009901,2.4752475247524752,100.0,0,0.0,,463,17,100,162,0,0,0.0,14.29,11.57,0.0,0.0,14.0,1.0,0.21,0.34,0.43
2020-02-13,24,24,0,0,0,0,1,19,1,226,217,2,0,2,5,96.01769911504425,0.8849557522123894,0.0,0.8849557522123894,2.2123893805309733,-14.29,1,0.0,inf,482,18,115,185,1,1,0.02,16.43,13.21,0.33,0.14,14.43,1.0,0.24,0.39,0.48
2020-02-14,19,19,0,0,0,0,0,15,0,245,236,2,0,2,5,96.3265306122449,0.8163265306122449,0.0,0.8163265306122449,2.0408163265306123,-20.83,1,0.0,-100.0,497,18,119,200,1,1,0.02,17.0,14.29,0.33,0.14,13.86,0.57,0.25,0.42,0.52
2020-02-15,37,36,0,0,1,0,0,12,3,282,272,2,0,3,5,96.45390070921985,0.7092198581560284,0.0,1.0638297872340425,1.7730496453900708,94.74,1,0.0,,509,21,147,220,1,1,0.02,21.0,15.71,0.33,0.14,14.71,1.0,0.31,0.46,0.59
2020-02-16,24,23,0,0,0,1,0,13,1,306,295,2,0,3,6,96.40522875816994,0.6535947712418301,0.0,0.9803921568627451,1.9607843137254901,-35.14,1,0.0,,522,22,168,232,1,1,0.02,24.0,16.57,0.0,0.14,15.71,1.14,0.35,0.49,0.65
2020-02-17,27,26,1,0,0,0,0,28,3,333,321,3,0,3,6,96.3963963963964,0.9009009009009009,0.0,0.9009009009009009,1.8018018018018018,12.5,1,0.0,,550,25,173,247,1,1,0.02,24.71,17.64,0.0,0.14,17.71,1.43,0.36,0.52,0.7
2020-02-18,27,27,0,0,0,0,0,27,1,360,348,3,0,3,6,96.66666666666667,0.8333333333333334,0.0,0.8333333333333334,1.6666666666666667,0.0,1,0.0,,577,26,186,265,1,1,0.02,26.57,18.93,0.0,0.14,18.71,1.29,0.39,0.56,0.76
2020-02-19,17,17,0,0,0,0,0,38,3,377,365,3,0,3,6,96.81697612732096,0.7957559681697612,0.0,0.7957559681697612,1.5915119363395225,-37.04,1,0.0,,615,29,175,275,1,1,0.02,25.0,19.64,0.0,0.14,21.71,1.71,0.37,0.58,0.79
2020-02-20,55,52,2,0,0,1,0,38,1,432,417,5,0,3,7,96.52777777777777,1.1574074074074074,0.0,0.6944444444444444,1.6203703703703705,223.53,1,0.0,,653,30,206,321,0,1,0.0,29.43,22.93,0.0,0.0,24.43,1.71,0.43,0.68,0.91
2020-02-21,61,59,1,0,0,1,0,39,2,493,476,6,0,3,8,96.55172413793103,1.2170385395537526,0.0,0.6085192697768763,1.6227180527383367,10.91,1,0.0,,692,32,248,367,0,1,0.0,35.43,26.21,0.0,0.0,27.86,2.0,0.52,0.77,1.04
2020-02-22,59,59,0,0,0,0,0,27,3,552,535,6,0,3,8,96.92028985507247,1.0869565217391304,0.0,0.5434782608695652,1.4492753623188406,-3.28,1,0.0,,719,35,270,417,0,1,0.0,38.57,29.79,0.0,0.0,30.0,2.0,0.57,0.88,1.16
